관련성,정확성,완전성,명료성,score,모델
JSON 오류,JSON 오류,JSON 오류,JSON 오류,,modul
JSON 오류,JSON 오류,JSON 오류,JSON 오류,,modul
JSON 오류,JSON 오류,JSON 오류,JSON 오류,,modul
JSON 오류,JSON 오류,JSON 오류,JSON 오류,,modul
JSON 오류,JSON 오류,JSON 오류,JSON 오류,,modul
JSON 오류,JSON 오류,JSON 오류,JSON 오류,,modul
JSON 오류,JSON 오류,JSON 오류,JSON 오류,,modul
JSON 오류,JSON 오류,JSON 오류,JSON 오류,,modul
JSON 오류,JSON 오류,JSON 오류,JSON 오류,,modul
JSON 오류,JSON 오류,JSON 오류,JSON 오류,,modul
JSON 오류,JSON 오류,JSON 오류,JSON 오류,,notebooklm
JSON 오류,JSON 오류,JSON 오류,JSON 오류,,notebooklm
JSON 오류,JSON 오류,JSON 오류,JSON 오류,,notebooklm
JSON 오류,JSON 오류,JSON 오류,JSON 오류,,notebooklm
JSON 오류,JSON 오류,JSON 오류,JSON 오류,,notebooklm
JSON 오류,JSON 오류,JSON 오류,JSON 오류,,notebooklm
JSON 오류,JSON 오류,JSON 오류,JSON 오류,,notebooklm
JSON 오류,JSON 오류,JSON 오류,JSON 오류,,notebooklm
JSON 오류,JSON 오류,JSON 오류,JSON 오류,,notebooklm
JSON 오류,JSON 오류,JSON 오류,JSON 오류,,notebooklm
